id,pros,cons,meta_description
"skoda_karoq","Praktisk familjebil;VarioFlex-säten flyttbara;Bra pris;Bra utrustning","Tråkig design;Inte sportig;Daterat infotainment;Hård plast",""
"skoda_kodiaq","7 sittplatser till lågt pris;Ny modell 2024;Mycket utrymme;VW-teknik under","Inte premium;Tredje raden trång;Inte sportigt;Plastigt i basversioner",""
"skoda_octavia","Enormt utrymme för pengarna;Simply Clever-funktioner;Bra att köra;Utmärkt prisvärdhet","Inte premium-märke;Lite plastigt interiör;Ingen AWD på RS;Standardutrustning basic",""
"skoda_superb","Enormt bagageutrymme;Mycket utrymme bak;Bra laddhybrid;Premium-känsla","Tråkig design;Inte sportig;Sjunkande andrahandsvärde i sedan;Hård plast i bas",""
"smart_1","Snygg design;Kompakt;Mercedes-samarbete;Bra pris","Geely-plattform;Okänt som SUV-märke;Begränsat servicenät;Osäkert andrahandsvärde",""
"suzuki_swift","Lätt och rolig att köra;Bra pris;Mildhybrid;AllGrip 4WD finns","Trångt baksäte;Liten bagagelucka;Begränsad säkerhet;Hård plast",""
"suzuki_vitara","AllGrip 4WD finns;Bra pris;Pålitlig;Lättkörd","Daterad design;Begränsad säkerhet;Hård plast;Tråkig att köra",""
"tesla_model_3","Bäst räckvidd i klassen;Snabbast i klassen;Supercharger-nätverket;OTA-uppdateringar","Minimalistisk interiör;Kvalitetsproblem rapporteras;Inget CarPlay/Android Auto;Service kan vara svårt",""
"tesla_model_s","Plaid är sinnessjukt snabb;Längst räckvidd (600+ km);Futuristisk interiör;Självkörande potential","Extremt dyr;Obekvämt yoke-ratt;Kvalitetsklagomål;Service-tillgänglighet",""
"tesla_model_x","Falcon Wing-dörrar;Plaid-version brutal prestanda;Lång räckvidd;Supercharger-nät","Mycket dyr;Snabb värdeminskning;Kvalitetsproblem rapporterade;Komplext interiör",""
"tesla_model_y","Enormt bagageutrymme;Bra räckvidd;Snabb laddning;Låga driftskostnader","Stötigt chassi;Varierande byggkvalitet;Spartansk interiör;Inget traditionellt instrument","Tesla Model Y är en av världens mest sålda elbilar. Med enorm lastkapacitet, lång räckvidd och snabb laddning passar den såväl barnfamiljen som pendlaren. Begagnad är ofta det klokaste köpet — priset sjunker snabbt de första åren."
"toyota_aygo_x","Snygg liten crossover;Lättkörd i stan;Bra pris;Snål","Endast 4 säten;Trångt bak;Begränsad motor;Inte säker som större bilar",""
"toyota_bz4x","Toyota-kvalitet;Bekväm;Rymlig;Bra garantier","Långsam laddning;Inte sportig;Design tråkig;Sen till elbilsfesten",""
"toyota_c_hr","Unik design;Bra hybrid;Toyota-pålitlighet;Snyggt ny modell","Begränsad sikt;Trångt bak;Liten bagage;Design över funktion",""
"toyota_corolla","Pålitlig;Bra hybrid;Låg förbrukning;Bra begagnad","CVT konstigt;Inte sportig;Infotainment daterat;Inte premium",""
"toyota_highlander","7 säten med hybrid;Bränslesnål för storleken;Pålitlig;Bra utrustning standard","Inte sportig;Stor och otymplig;CVT-låda kan tjuta;Tråkig design",""
"toyota_hilux","Indestructible (känd hållbarhet);Stark dragvikt;Bra terränggång;Bra andrahandsvärde","Skåpbilskänsla;Bullrig;Daterat infotainment;Hård fjädring",""
"toyota_land_cruiser","Legendarisk terräng-förmåga;Stark dragvikt (3500 kg);Robust och pålitlig;Klassisk design","Hög förbrukning;Stor och otymplig;Endast diesel;Mycket dyr",""
"toyota_prius","Branschens hybrid-mästare;Snygg ny design;Mycket bränslesnål;Bra laddhybrid","Liten bagagelucka;Sluttande tak begränsar utrymme;Inte stor familjebil;CVT-låda kan tjuta",""
"toyota_rav4","Legendär tillförlitlighet;Utmärkt hybrid;Låg bränsleförbrukning;Bra andrahandsvärde","CVT-lådan konstigt beteende;Inte premium-känsla;Infotainment daterat;Inte så rolig att köra",""
"toyota_yaris","Mycket bränslesnål hybrid;Pålitlig;Bra säkerhet;GR Yaris är monster","Trångt baksäte;Liten bagagelucka;Bullrig motor;Ingen elversion",""
"toyota_yaris_cross","Kompakt SUV;Bra hybrid;Pålitlig;Bra pris","Trångt bak;Liten bagage;CVT;Inte premium",""
"vw_arteon","Snygg fyrdörrarscoupé;Shooting Brake-version;Stort bagageutrymme;Bra laddhybrid","Utgången modell;Dyra tillval;Trångt på huvudhöjd bak;Sjunkande andrahandsvärde",""
"vw_caddy","Enormt utrymme;Skjutdörrar bak;Praktisk för stora familjer;Robust","Skåpbilskänsla;Tråkig design;Inte sportig;Hög förbrukning",""
"vw_golf","Allroundbil i toppklass;Bra köregenskaper;GTI och R är klassiker;Praktisk","Touchkontroller frustrerande;Mjukvarubuggar;Tråkig design;Dyra tillval",""
"vw_id_buzz","Ikonisk design;Enormt utrymme;7-sitsig version finns;Tysta resor","Begränsad räckvidd (~400 km);Stor och svårparkerad;Långsam laddning;Dyr för kategorin",""
"vw_id3","Kompakt och lättmanövrerad;Bra räckvidd för priset;Överkomligt pris;VW-servicenätverk","Mjukvaran har problem;Plastig interiör;Inte inspirerande design;Svag standardmotor",""
"vw_id4","Rymlig och praktisk;Bra pris;Tyst och bekväm;VW-servicenätverk","Infotainment laggar;Plastigt interiör;Inte så rolig att köra;Laddning kunde vara snabbare",""
"vw_id7","Lång räckvidd (~700 km);Stort bagageutrymme;Tourer-version (kombi);Bra finish","Tråkig design;Touchkontroller frustrerande;Mjukvarubuggar;Långsam laddning vs konkurrenter",""
"vw_passat","Enormt bagageutrymme;Ny modell 2024;Praktisk familjebil;Bra förarhav","Bara som kombi;Inte premium-känsla;Standardutrustning snål;Inte sportig",""
"vw_polo","Lättkörd småbil;Bra finish;GTI-version stark;Bra säkerhet","Endast bensin;Trångt baksäte;Dyrare än konkurrenter;Begränsad räckvidd för el-fans",""
"vw_t_cross","Praktisk;Skjutbart baksäte;Bra storlek för stan;Säker","Endast bensin;Begränsade motorer;Inte rolig att köra;Hård plast i interiör",""
"vw_t_roc","Snygg design;Hög sittställning;Cabriolet-version finns;R-version stark","Hård fjädring;Trångt bagageutrymme;Inte premium;Daterat infotainment",""
"vw_tiguan","Praktisk familjebil;Bra kvalitetskänsla;Ny modell 2024;Finns som 7-sitsig","Inte premium;Dyrt med tillval;Inte sportigt;Föråldrat infotainment",""
"vw_touareg","Premium SUV utan premium-pris;Lyxig interiör;Stark dragvikt (3500 kg);Bra utrustning","Sjunkande andrahandsvärde;Hög förbrukning;Inte sportig;Stor och otymplig",""
"vw_touran","7 äkta säten;Mycket bagage;Praktisk familjebil;Säker","Tråkig design;Inte sportig;Endast FWD;Daterat infotainment",""
"volvo_ec40","Coupé-silhuett;Google-infotainment;Stark prestanda;Hög säkerhet","Dyr för segmentet;Begränsat bagage p.g.a. coupé-tak;Oklar modellnamnsstrategi;Inte bäst räckvidd",""
"volvo_xc40_recharge","Kompakt premium-elbil;Hög säkerhet;Praktisk;Google-infotainment","Begränsad räckvidd jämfört med nyare elbil;Dyr;Trångt baksäte;Höga servicekostnader",""
"volvo_ex60","Nästa generations Volvo-elbil;Modern plattform;Skandinavisk lyx;Avancerad säkerhetsteknik","Ny modell – okänd pålitlighet;Dyr;Konkurrensen hård i segmentet;Begränsat med begagnade",""
"volvo_es90","Elegant flaggskeppssedан;Skandinavisk lyxinteriör;Lång räckvidd;Avancerad säkerhet","Extremt dyr;Ny modell – okänd pålitlighet;Sedan har lägre praktikalitet;Liten begagnatmarknad",""
"volvo_ex30_cross_country","Höjd markfrigång;Äventyrlig look;Kompakt elbil;Bra pris för Cross Country","Begränsat bagageutrymme;Liten interiör;Inga fysiska knappar;Premie vs standard EX30",""
"volvo_v60_cross_country","Kombins elegans med SUV-förmåga;Hög markfrigång;AWD standard;Praktisk och snygg","Dyr;Något tyngre och törstigare;Inte ren terrängbil;Dyrare service",""
"volvo_v90_cross_country","Enormt bagageutrymme;Lyxig och bekväm;AWD standard;Vacker design","Dyr;Hög förbrukning;Infotainment daterat;Sjunkande andrahandsvärde",""
"volvo_v40_cross_country","Kompakt Cross Country-stil;Bra pris begagnad;Säker;Snygg design","Utgången modell;Daterad teknik;Inte äkta AWD;Litet bagageutrymme",""
"volvo_xc70","Klassisk Cross Country-kombi;Stort bagageutrymme;AWD;Pålitlig begagnad","Utgången modell;Föråldrad teknik;Hög förbrukning;Sliten på marknaden",""
"volvo_ex30","Kompakt elbil;Bra pris;Snabb;Skandinavisk design","Liten;Begränsad bagage;Inga fysiska knappar;Made in China",""
"volvo_ex40","Skandinavisk design;Säker;Google-baserat infotainment;Snabb laddning","Kort räckvidd jämfört med konkurrenter;Trångt baksäte;Hög förbrukning vintertid;Dyr",""
"volvo_ex90","Flaggskepps-elbil;7 sittplatser;Avancerad säkerhet;Skandinavisk lyx","Extremt dyr;Ny teknik - okänd pålitlighet;Mjukvaruproblem rapporterade;Stor och tung",""
"volvo_s60","Snygg sedan;Stark laddhybrid;Bekväm;Säker","Trångt bak;Inte så sportig som BMW;Utgående modell;Infotainment daterat",""
"volvo_s90","Skandinavisk lyx;Mycket säker;Bra långfärdsbil;Snygg interiör","Tråkig att köra;Sjunkande andrahandsvärde;Komplext infotainment;Mindre rymlig än konkurrenter",""
"volvo_v40","Säker;Snygg design;Bra pris begagnad;Bekväma säten","Utgången modell;Begränsad teknik;Trångt baksäte;Endast FWD",""
"volvo_v60","Klassens snyggaste kombi;Utmärkt komfort;Stark laddhybrid;Hög säkerhet","Trång i baksätet;Dyr grundutrustning;Vissa kvalitetsmissar;Komplex infotainment",""
"volvo_v70","Klassisk svensk kombi;Stort bagageutrymme;Robust;Prisvärd begagnad","Utgången modell;Föråldrad teknik;Hög förbrukning;Sliten på begagnatmarknaden",""
"volvo_v90","Klassens snyggaste;Enormt bagageutrymme;Premium-känsla;Bekväm","Utgående modell;Infotainment daterat;Dyra tillval;Hög förbrukning",""
"volvo_xc40","Kompakt och lättmanövrerad;Finns som ren elbil;Premium-känsla;Bra säkerhetsutrustning","Begränsat benutrymme bak;Inte billigaste i klassen;Litet bagageutrymme;Höga tillvalskostnader",""
"volvo_xc60","Klassens bästa säkerhet;Lyxig och tyst kupé;Stark laddhybrid-variant;Hög andrahandsvärde","Dyr i grundutförande;Infotainment kan vara långsamt;Begränsat benutrymme bak;Höga servicekostnader",""
"volvo_xc90","7 sittplatser som standard;Skandinavisk lyxdesign;Utmärkt säkerhetsutrustning;Kraftfull laddhybrid","Hög inköpskostnad;Tredje sätesraden trång;Tung och törstig;Föråldrat infotainment",""
"xpeng_g6","Snabb laddning (800V);Bra pris;Modern teknik;Snygg design","Okänt märke;Begränsat servicenät;Osäkert andrahandsvärde;Ny - okänd pålitlighet",""
