"Märke","Modell","Kaross","Beskrivning","Drivmedel","Drivlina","Sittplatser","Styrkor","Svagheter","Passar för","Bättre alternativ"
"Dacia","Spring","Halvkombi","Billigast nya elbilen på marknaden. Extreme-versionen är vanligaste valet. Mycket låg driftkostnad men svag motor och enkel säkerhet.","El","Tvåhjulsdrift","4","Extremt låg driftkostnad; Lätt att parkera; Bra som andrabil","Svag motor; Enkel säkerhet; Kort räckvidd","Stadsboende med EV-behov; Andra-bil i hushållet","for_kvalitet: Renault 5 E-Tech"
"Fiat","500e","Halvkombi","Snygg och smidig stads-elbil. Charmig design och lätt att parkera. För liten för familj men perfekt för stadspendling.","El","Tvåhjulsdrift","4","Charmig design; Lätt att parkera; Bra stadsbil","För liten för familj; Begränsat bagage; Kort räckvidd","Stadsboende; Andra-bil","for_storlek: MG 4"
"Fiat","600","SUV","Liten SUV för stadskörning. Finns även som elektrisk. Enkel att parkera och billig att köra men begränsat utrymme.","Bensin; Mildhybrid; El","Tvåhjulsdrift","5","Enkel att parkera; Billig att köra; Snygg design","Begränsat utrymme; Lägre kvalitetskänsla","Stadsboende; Singel eller par","for_rackvidd: Hyundai Kona Electric"
"Fiat","500X","SUV","Liten crossover med italiensk stil. Mer designprodukt än praktiskt fordon. Börjar kännas äldre i tekniken.","Bensin; Mildhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Italiensk stil; Bra storlek för stad","Börjar kännas äldre; Mindre praktisk än rivaler","Den som vill ha designorienterad liten SUV","for_kvalitet: Audi Q2"
"Fiat","Tipo Cross","Halvkombi","Billig och enkel familjebil. Mycket bil för pengarna men enklare kvalitetskänsla och teknik än vanligare märken.","Bensin; Mildhybrid","Tvåhjulsdrift","5","Mycket bil för pengarna; Enkel att äga","Enkel kvalitetskänsla; Mindre uppdaterad teknik","Budgetmedvetna familjer","for_kvalitet: Toyota Corolla"
"Fiat","Doblo","Familjevan","Billig och praktisk familjebil eller arbetsbil. Diesel är vanligt val för långkörning. Mycket utrymme för pengarna men enkel komfort.","Diesel; El","Tvåhjulsdrift","5","Mycket plats för pengarna; Praktisk; Flexibel","Enkel komfort; Bullrig i fart","Aktiva familjer; Hantverkare med budget","for_premium: Mercedes T-klass"
"Fiat","Panda 4x4","Halvkombi","Liten charmig vinterbil med riktig fyrhjulsdrift. Tar sig fram överallt trots litet format. Enkel komfort och gammal teknik.","Bensin; Mildhybrid","Fyrhjulsdrift","5","Tar sig fram överallt; Charmig; Smidig i stad","Enkel komfort; Gammal teknik; Bullrig","Boende i kuperad terräng; Andra-bil för vintern","for_vardag: Suzuki Ignis"
"Ford","Focus","Halvkombi/Kombi","En av klassens roligaste vardagsbilar att köra. Fantastiskt chassi och styrning. Finns även som kombi. Interiören känns enklare än VW Golf.","Bensin; Diesel; Mildhybrid","Tvåhjulsdrift","5","Mycket bra chassi och styrning; Kul att köra; Bra utrymme","Enklare interiör än Golf; Modellen utgår snart","Föraren som vill ha rolig vardagsbil","for_komfort: Volkswagen Golf"
"Ford","Focus ST","Halvkombi","Rolig hot hatch för vardagen med Fords klassiska chassi-finess. Manuell version är förstaval för entusiaster. Hård fjädring i stadsfart.","Bensin","Tvåhjulsdrift","5","Fantastiskt chassi; Manuell finns; Stark prestanda","Hård fjädring i stad; Modellen utgår","Entusiasten som vill ha rolig vardagsbil","for_premium: Golf GTI"
"Ford","Fiesta ST","Halvkombi","En av världens roligaste småbilar att köra. Manuell version är förstaval. Hård i vardagen och liten för familj. Utgången modell, finns endast begagnat.","Bensin","Tvåhjulsdrift","5","Fantastiskt chassi; Mycket körglädje för pengarna; Karaktärsfull","Hård i vardagen; Liten för familj; Endast begagnat","Entusiasten med körglädjefokus","for_premium: MINI JCW"
"Ford","Kuga","SUV","Rymlig och prisvärd familje-SUV. Laddhybriden är populär för pendlare. Bekväm och enkel att leva med men inte premium.","Bensin; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Rymlig; Bra laddhybrid; Komfortabel","Plastig interiör; Inte sportig; Medelmåttig infotainment","Familjependlaren; Den som vill ha mycket SUV för pengarna","for_premium: BMW X1"
"Ford","Puma","SUV","Liten SUV som känns rolig att köra. Smart bagagelösning med extra utrymme under golvet. Finns även som elektrisk.","Bensin; Mildhybrid; El","Tvåhjulsdrift","5","Rolig att köra för SUV; Smart bagagelösning; Snygg design","Begränsat baksäte; Plastig interiör","Småfamiljen; Den som vill ha kompakt SUV med karaktär","for_komfort: Volkswagen T-Cross"
"Ford","Mustang","Coupé/Cabriolet","Amerikansk muskelbil med V8-karaktär. GT V8 är den 'riktiga' versionen. Inte praktisk men full av karaktär och ljud. Nu även som EV under Mach-E-namnet.","Bensin","Tvåhjulsdrift","4","V8-karaktär; Ikonisk design; Rolig ljudbild","Hög förbrukning; Trång bak; Inte praktisk","Entusiasten som vill ha klassisk muskelbil","for_precision: Porsche 718 Cayman"
"Ford","Mustang Mach-E","SUV","Sportig el-SUV med bra räckvidd. Roligare att köra än Tesla Model Y men laddnätverket är svagare. AWD Long Range är vanligaste valet.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Roligare att köra än Model Y; Bra räckvidd; Snygg design","Svagare laddnätverk än Tesla; Mindre effektiv","Den som vill ha sportig el-SUV","for_teknik: Tesla Model Y"
"Ford","Explorer EV","SUV","Europeisk el-SUV byggd på samma plattform som VW ID.4. Bekväm och modern interiör men inte lika effektiv som Tesla.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Bekväm; Modern interiör; Rymlig","Inte lika effektiv som Tesla; Begränsad räckvidd","Familjer som vill ha europeisk el-SUV","for_laddning: Tesla Model Y"
"Ford","Ranger","Pickup","Pickup för arbete och drag. Wildtrak diesel är vanligaste valet i Sverige. Stark dragkapacitet och robust känsla men stor och opraktisk i stad.","Diesel","Fyrhjulsdrift","5","Stark dragkapacitet; Robust; Bra arbetsfordon","Stor och opraktisk i stad; Hög förbrukning","Hantverkare; Den som drar tunga släp","for_komfort: Volkswagen Amarok"
"Genesis","G80","Sedan","Lyxsedan från Hyundais premiummärke. Mycket hög kvalitetskänsla och utrustning men svagt återförsäljarnät i Europa. Finns även som elektrifierad.","Bensin; Diesel; El","Tvåhjulsdrift; Fyrhjulsdrift","5","Mycket hög kvalitetskänsla; Bra utrustning; Sticker ut från tysk standard","Svagt återförsäljarnät; Lägre andrahandsvärde; Okänt märke","Den som vill ha lyxbil som sticker ut","for_andrahandsvarde: BMW 5-serie"
"Genesis","Electrified G80","Sedan","Diskret elektrisk lyxsedan. Mycket hög komfort och kvalitet men begränsat servicenät i Europa.","El","Fyrhjulsdrift","5","Mycket hög komfort; Hög kvalitet; Diskret design","Begränsat servicenät; Okänt långsiktigt värde","Den som vill ha diskret el-lyxsedan","for_teknik: BMW i5"
"Genesis","GV60","SUV","Premium-elSUV med distinkt design. Bygger på samma plattform som Hyundai IONIQ 5 och Kia EV6. Mycket hög kvalitetskänsla men begränsat servicenät i Europa.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Mycket hög kvalitetskänsla; Snabb laddning; Unik design","Begränsat servicenät i Europa; Lägre andrahandsvärde","Den som vill ha unik premium-EV","for_andrahandsvarde: BMW iX3"
"Genesis","GV70","SUV","Premium-SUV som sticker ut från tyska konkurrenter. Mycket hög kvalitetskänsla för priset. Finns även som elektrifierad.","Bensin; Diesel; El","Tvåhjulsdrift; Fyrhjulsdrift","5","Hög kvalitetskänsla för priset; Sticker ut; Bra utrustning","Begränsat servicenät; Lägre andrahandsvärde","Den som vill ha annorlunda premium-SUV","for_premium: Mazda CX-60"
"Genesis","GV80","SUV","Stor lyx-SUV utan tysk standarddesign. Extremt hög kvalitetskänsla men begränsat servicenät i Europa.","Bensin; Diesel; El","Tvåhjulsdrift; Fyrhjulsdrift","7","Extremt hög kvalitetskänsla; Sju säten finns; Unik design","Begränsat servicenät; Lägre andrahandsvärde","Den som vill ha unik lyx-SUV","for_andrahandsvarde: BMW X5"
"Honda","Civic","Halvkombi/Sedan","Pålitlig och rolig vardagsbil i kompaktklassen. Senaste generationen är endast hybrid och har bra balans mellan ekonomi och körning.","Hybrid","Tvåhjulsdrift","5","Bra balans mellan ekonomi och körning; Pålitlig; Karaktärsfull design","Begränsat bagage mot kombis; Begränsat motorutbud","Den som vill ha pålitlig vardagsbil","for_utrymme: Skoda Octavia"
"Honda","Civic Type R","Halvkombi","Bästa framhjulsdrivna sportbilen enligt många. Manuell låda är hela poängen. Extrem precision och körglädje men hög prislapp för en Civic.","Bensin","Tvåhjulsdrift","5","Extrem precision och körglädje; Manuell låda; Bra praktisk användning som sportbil","Hög prislapp för en Civic; Polariserande design; Hård fjädring","Entusiasten med fokus på chassi","for_awd: Golf R"
"Honda","Jazz","Halvkombi","Smart liten bil med ovanligt stort invändigt utrymme tack vare 'Magic Seats'. Hybridversionen är förstaval. Inte inspirerande att köra.","Hybrid","Tvåhjulsdrift","5","Överraskande praktisk; Magic Seats; Låg förbrukning","Inte inspirerande att köra; Anonym design","Äldre förare; Den som vill ha praktisk småbil","for_premium: MINI Cooper"
"Honda","HR-V","SUV","Kompakt hybrid-SUV. Hybridversionen är förstaval. Inte särskilt snabb eller premium men pålitlig och driftsäker.","Hybrid","Tvåhjulsdrift","5","Driftsäker; Låg förbrukning; Praktisk","Inte särskilt snabb eller premium; Anonym design","Den som vill ha pålitlig hybrid-SUV","for_design: Mazda CX-30"
"Honda","ZR-V","SUV","Hybrid-SUV mellan HR-V och CR-V i Hondas sortiment. Bra balans mellan storlek och förbrukning men inte särskilt utstickande design.","Hybrid","Tvåhjulsdrift","5","Bra storlek; Låg förbrukning; Driftsäker hybrid","Anonym design; Inte inspirerande att köra","Familjer som vill ha pålitlig SUV","for_design: Mazda CX-5"
"Honda","e","Halvkombi","Charmig elbil för stad med unik retro-design. Advance-versionen är vanligaste valet. För kort räckvidd för långresor. Utgår men finns begagnat.","El","Tvåhjulsdrift","4","Fantastisk design; Smidig i stad; Karaktärsfull","Kort räckvidd; Begränsad praktisk användning; Dyr för storleken","Stadsboende med EV-behov; Designorienterad köpare","for_praktisk_anvandning: MINI Electric"
"Honda","Prelude","Coupé","Kommande sportig hybrid-coupé som återupplivar ett klassiskt namn. Fokus på balans snarare än rå kraft. Begränsad praktisk användning.","Hybrid","Tvåhjulsdrift","4","Fokus på balans; Karaktärsfull","Begränsad praktisk användning; Mindre kraft än rivaler","Entusiasten som vill ha hybrid-coupé","for_ren_sport: Toyota GR86"
"Hyundai","i10","Halvkombi","Enkel och billig stadsbil. Automatversionen är populär. Lätt att parkera och äga med bra garanti.","Bensin","Tvåhjulsdrift","5","Lätt att parkera; Billig att äga; Bra garanti","Inte särskilt rolig; Begränsade säkerhetspaket","Stadsboende; Förstabilskunden","for_kvalitet: Toyota Aygo X"
"Hyundai","i20","Halvkombi","Liten halvkombi som klättrat i kvalitet senaste generationen. Mildhybrid är förstaval för låg förbrukning.","Bensin; Mildhybrid","Tvåhjulsdrift","5","Bra garanti; Modern interiör; Låg förbrukning","Anonym design; Inte inspirerande att köra","Stadsboende; Förstabilskunden",""
"Hyundai","i20 N","Halvkombi","Liten hot hatch med manuell växellåda. Extremt lekfull att köra men hård fjädring i vardagen.","Bensin","Tvåhjulsdrift","5","Lekfull att köra; Manuell finns; Bra garanti","Hård fjädring; Begränsad i vardagen","Entusiasten med fokus på chassi","for_premium: MINI JCW"
"Hyundai","i30","Halvkombi","Enkel och prisvärd vardagsbil. Mildhybrid är förstaval. Bra garanti och låg ägandekostnad men inte lika premium som Golf.","Bensin; Mildhybrid","Tvåhjulsdrift","5","Bra garanti; Låg ägandekostnad; Praktisk","Inte lika premium som Golf","Småfamiljen; Pendlaren med budget","for_korgladje: Ford Focus"
"Hyundai","i30 Wagon","Kombi","Billig och praktisk kombi. Mildhybrid automat är vanligaste valet. Bra garanti och låg driftkostnad.","Bensin; Mildhybrid","Tvåhjulsdrift","5","Bra garanti; Låg driftkostnad; Praktisk","Inte lika premium som Golf Variant","Familjer med budget; Praktiska pendlare","for_korgladje: Ford Focus Combi"
"Hyundai","Bayon","SUV","Liten crossover ovanför i20. Mildhybrid är förstaval. Enkel att äga och billig i drift men känns enkel invändigt.","Bensin; Mildhybrid","Tvåhjulsdrift","5","Enkel att äga; Billig i drift; Bra garanti","Enkel invändigt; Anonym","Stadsboende som vill ha crossover","for_kvalitet: Toyota Yaris Cross"
"Hyundai","Inster","SUV","Liten billig elbil för stad. Long Range är förstaval för längre räckvidd. Smidig och låg driftkostnad men begränsat utrymme.","El","Tvåhjulsdrift","4","Mycket låg driftkostnad; Smidig; Bra stadsbil","Begränsat utrymme; Kort räckvidd i basversionen","Stadsboende med EV-behov; Andra-bil",""
"Hyundai","Kona","SUV","Prisvärd kompakt-SUV. Finns som bensin, hybrid och elektrisk. Låg driftkostnad och enkel att köra men små baksäten för familj.","Bensin; Mildhybrid; Hybrid; El","Tvåhjulsdrift; Fyrhjulsdrift","5","Effektiv; Prisvärd; Bra teknik","Små baksäten; Mindre premium än rivaler","Pendlaren; Småfamiljen","for_utrymme: Kia Niro"
"Hyundai","Kona Electric","SUV","Elektrisk version av Kona. 65 kWh-versionen är förstaval för bra räckvidd. Mycket låg förbrukning men inte särskilt rymlig bak.","El","Tvåhjulsdrift","5","Mycket låg förbrukning; Bra räckvidd; Lätt att äga","Inte särskilt rymlig bak","EV-pendlaren; Småfamiljen med EV-behov",""
"Hyundai","Tucson","SUV","Modern familje-SUV med distinkt design. Laddhybriden är populär för pendlare. Rymlig och bekväm men känns stor i stad.","Bensin; Mildhybrid; Hybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Mycket utrustning; Rymlig; Bekväm","Stor i stad; Polariserande design","Familjependlaren","for_premium: Volvo XC60"
"Hyundai","Santa Fe","SUV","Stor familje-SUV med plats för sju i nya generationen. Hybrid AWD är vanligaste valet i Sverige. Bekväm och rymlig men stor.","Hybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","7","Mycket bekväm och rymlig; Sju säten; Bra hybrid","Stor i stad och parkering; Polariserande design","Storfamiljen","for_premium: Volvo XC90"
"Hyundai","IONIQ 5","SUV","Modern elbil med retro-futuristisk design. Long Range AWD är vanligaste valet. Bekväm och modern interiör med 800V-laddning. Bygger på samma plattform som Kia EV6.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Bekväm och modern; Snabb laddning (800V); Karaktärsfull design","Stor bil som känns bred i stad; Begränsad sikt bakåt","Familjer som vill ha modern EV","for_sportighet: Kia EV6"
"Hyundai","IONIQ 5 N","SUV","Sportig elbil baserad på IONIQ 5. Otroligt rolig för att vara EV med simulerad växellåda och 'motor-ljud'. Hög förbrukning vid hård körning.","El","Fyrhjulsdrift","5","Mycket rolig att köra; Karaktärsfull simulerade ljud; Stark prestanda","Hög förbrukning vid hård körning; Dyr","Entusiasten som vill ha sportig EV","for_premium: Porsche Taycan"
"Jeep","Avenger","SUV","Liten SUV med tuff Jeep-design. Finns även som elektrisk. Smidig i stad och lätt att parkera men inte rymlig för familj.","Bensin; Mildhybrid; El","Tvåhjulsdrift; Fyrhjulsdrift","5","Tuff design; Smidig i stad; Lätt att parkera","Inte rymlig för familj; Begränsad räckvidd som EV","Stadsboende med Jeep-känsla","for_komfort: Peugeot e-2008"
"Jeep","Wrangler","Terrängbil","Riktig terrängbil och livsstilsbil. Rubicon är förstaval för offroad. Oslagbar i terräng men bullrig och opraktisk på motorväg.","Bensin; Laddhybrid","Fyrhjulsdrift","4","Oslagbar i terräng; Ikonisk design; Avtagbart tak","Bullrig på motorväg; Opraktisk i stad; Hög förbrukning","Off-road-entusiasten; Den som vill ha livsstilsbil","for_vardag: Land Rover Defender"
"Kia","Picanto","Halvkombi","Billig och lättkörd småbil. GT-Line är topputrustning. Smidig för stad och billig att äga med Kias 7-årsgaranti.","Bensin","Tvåhjulsdrift","5","Smidig; Billig; Bra garanti","Inte särskilt rolig; Begränsade säkerhetspaket","Stadsboende; Förstabilskunden","for_kvalitet: Toyota Aygo X"
"Kia","Sportage","SUV","Mycket SUV för pengarna med distinkt design. Hybrid AWD är populär. Rymlig och bra utrustad med Kias 7-årsgaranti.","Bensin; Mildhybrid; Hybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Rymlig; Bra utrustad; Bra garanti","Mindre premium än tyska; Polariserande design","Familjer med fokus på utrustning","for_komfort: Volvo XC60"
"Kia","XCeed","SUV","Crossover utan stor SUV-känsla. Laddhybriden är populär. Bekväm och lätt att leva med men inte lika praktisk som Sportage.","Bensin; Mildhybrid; Laddhybrid","Tvåhjulsdrift","5","Bekväm; Snygg design; Bra garanti","Inte lika praktisk som Sportage","Den som vill ha crossover utan stor SUV","for_korgladje: Cupra Leon"
"Kia","Sorento","SUV","Stor SUV med sju säten. Laddhybriden är förstaval i Sverige. Mycket utrustning för pengarna och bra dragbil.","Diesel; Hybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","7","Sju säten; Mycket utrustning; Bra garanti","Stor i stad; Hög inköpskostnad","Storfamiljen",""
"Kia","Stinger","Sedan","Underskattad GT-bil med V6 AWD som toppversion. Mycket prestanda för pengarna men begränsat andrahandsvärde. Modellen utgår.","Bensin","Tvåhjulsdrift; Fyrhjulsdrift","5","Mycket prestanda för pengarna; Karaktärsfull design; Snabb","Begränsat andrahandsvärde; Modellen utgår","Entusiasten som vill ha annorlunda GT","for_premium: BMW 4-serie Gran Coupé"
"Kia","ProCeed","Kombi","Snygg shooting brake till rimligt pris. GT-Line är populär. Sportigare känsla än vanlig Ceed men begränsat baksäte.","Bensin; Mildhybrid","Tvåhjulsdrift","5","Snygg design; Sportig känsla; Bra garanti","Begränsat baksäte; Begränsad praktisk användning","Designorienterade förare",""
"Kia","Soul EV","SUV","Annorlunda och praktisk liten elbil. Long Range är förstaval. Överraskande rymlig invändigt men designen delar åsikter.","El","Tvåhjulsdrift","5","Rymlig invändigt; Praktisk; Bra garanti","Polariserande design; Inte klassledande räckvidd","Den som vill ha annorlunda EV","for_premium: Volvo EX30"
"Kia","EV3","SUV","Kompakt familje-elbil med bra räckvidd. Long Range är förstaval. Modern och praktisk för storleken.","El","Tvåhjulsdrift","5","Modern och praktisk; Bra räckvidd; Snygg design","Inte lika snabb som EV6","Småfamiljen med EV-behov","for_sportighet: Cupra Born"
"Kia","EV6","SUV","Sportig elbil baserad på samma plattform som Hyundai IONIQ 5. Snabb laddning (800V) och stark prestanda. GT-versionen är extrem.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Sportig design; Snabb laddning; Bra räckvidd","Begränsad sikt bakåt; Trångt baksäte mot IONIQ 5","Den som vill ha sportig EV","for_komfort: Hyundai IONIQ 5"
"Kia","EV6 GT","SUV","Brutal prestanda-elbil med 585 hk. Extrem acceleration och körglädje. Kortare räckvidd vid hård körning.","El","Fyrhjulsdrift","5","Extrem prestanda; Körglädje; Bra balans sport och vardag","Kort räckvidd vid hård körning; Hård fjädring","Entusiasten som vill ha snabb EV","for_premium: Porsche Taycan"
"Kia","EV9","SUV","Stor el-SUV med sju säten. AWD Long Range är förstaval. Extremt rymlig och familjevänlig men stor och tung i stadsmiljö.","El","Tvåhjulsdrift; Fyrhjulsdrift","7","Sju säten; Mycket rymlig; Enormt bagage för priset","Stor och tung; Inte särskilt inspirerande att köra","Storfamiljen med EV-behov","for_korgladje: Ford Focus"
"Kia","Carnival","Familjevan","Enorm familje-MPV med plats för upp till åtta. Dieselautomat är vanligaste valet. Fantastiskt utrymme för stora familjer.","Diesel; Hybrid","Tvåhjulsdrift","8","Fantastiskt utrymme; Bra för storfamiljer; Sliding doors","Stor och mindre smidig; Mer transportbil än personbil","Storfamiljen; Shuttle-användning","for_premium: Mercedes V-klass"
"Lamborghini","Urus","SUV","Brutal super-SUV med maximal närvaro. Performante är extra fokuserad på prestanda. Mycket dyr drift och underhåll.","Bensin; Laddhybrid","Fyrhjulsdrift","5","Extrem prestanda; Stor närvaro; Praktisk för en supersport","Mycket dyr drift; Hög förbrukning","Den som vill ha maximal SUV-uppmärksamhet","for_diskret: Bentley Bentayga"
"Lamborghini","Huracán Sterrato","Coupé","Galen supersportbil för alla underlag. Mycket nischad och exklusiv. Modellen utgår men har samlarpotential.","Bensin","Fyrhjulsdrift","2","Unik koncept; Fantastisk V10; Samlarpotential","Mycket dyr; Begränsad praktisk användning","Samlaren med fokus på unika modeller","for_alternativ: Porsche 911 Dakar"
"Lamborghini","Revuelto","Coupé","Modern hybrid-superbil och Lamborghinis flaggskepp. Kombination av V12 och elmotorer. Mycket dyr och exklusiv.","Laddhybrid","Fyrhjulsdrift","2","Fantastisk V12 + el; Extrem prestanda; Designikon","Mycket dyr; Begränsad praktisk användning","Den som vill ha framtidens superbil","for_alternativ: Ferrari 296 GTB"
"Land Rover","Defender","SUV","Lyxig terrängbil med karaktär. D300 är populärt val. Extrem kapacitet på väg och offroad men reparationer kan bli dyra.","Bensin; Diesel; Mildhybrid; Laddhybrid","Fyrhjulsdrift","5","Extrem terrängkapacitet; Lyxig interiör; Karaktärsfull","Dyra reparationer möjliga; Hög förbrukning","Off-road-användning; Livsstilsföraren",""
"Land Rover","Range Rover","SUV","Maximal SUV-lyx och komfort. PHEV-versionerna är populära. Fantastisk komfort men mycket dyr att äga och reparera.","Diesel; Mildhybrid; Laddhybrid","Fyrhjulsdrift","5","Fantastisk komfort; Hög närvaro; Lyxig kupé","Mycket dyr drift och reparation; Hög förbrukning","Den som värdesätter SUV-lyx","for_driftsakerhet: Lexus LX"
"Land Rover","Range Rover Sport","SUV","Lyxig premium-SUV med stark närvaro. Diesel eller PHEV är vanligaste valen. Mer fokus på körkänsla än Range Rover.","Diesel; Mildhybrid; Laddhybrid","Fyrhjulsdrift","5","Stark närvaro; Bra körkänsla; Lyxig","Hög drift och reparationskostnad","Den som vill ha sportig lyx-SUV","for_driftsakerhet: BMW X5"
"Land Rover","Range Rover Velar","SUV","Den snyggaste Range Rover. P400e (PHEV) är populärt val. Snygg interiör och komfort men mindre praktisk än Range Rover.","Bensin; Diesel; Mildhybrid; Laddhybrid","Fyrhjulsdrift","5","Snygg interiör; Bra komfort; Designikon","Mindre praktisk; Dyr drift","Designorienterad köpare","for_familj: Audi Q7"
"Land Rover","Discovery Sport","SUV","Kompakt premium-SUV med möjlighet till sju säten. Diesel AWD är vanligt val. Bra komfort och terrängkapacitet.","Bensin; Diesel; Mildhybrid; Laddhybrid","Fyrhjulsdrift","7","Sju säten möjligt; Bra komfort; Terrängkapacitet","Risk för höga servicekostnader","Familjer som vill ha premium med terräng","for_driftsakerhet: Toyota Highlander"
"Lexus","ES","Sedan","Bekväm och driftsäker sedan. Hybridversionen är enda valet. Mycket tyst och avslappnad men inte sportig alls.","Hybrid","Tvåhjulsdrift","5","Mycket tyst; Driftsäker; Bekväm","Inte sportig; Anonym design","Den som värdesätter komfort och driftsäkerhet","for_korgladje: BMW 5-serie"
"Lexus","IS","Sedan","Driftsäker sport-sedan. 300h hybrid är förstaval. Mycket hög byggkvalitet men inte lika rolig som BMW 3-serie.","Hybrid","Tvåhjulsdrift","5","Hög byggkvalitet; Driftsäker; Tyst","Inte lika rolig som BMW; Begränsad teknik","Den som värdesätter pålitlighet",""
"Lexus","NX","SUV","Premium-SUV med hög kvalitetskänsla. Finns som hybrid och laddhybrid. Infotainmentet känns fortfarande speciellt jämfört med tyska.","Hybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Hög kvalitetskänsla; Driftsäker; Bra hybrid","Infotainment känns speciellt; Inte lika rolig som BMW","Familjer som värdesätter pålitlighet","for_korning: BMW X3"
"Lexus","RX","SUV","Tyst och bekväm lyx-SUV. Laddhybriden är vanligaste valet. Mycket hög komfortnivå men inte sportig alls.","Hybrid; Laddhybrid","Fyrhjulsdrift","5","Mycket hög komfort; Tyst; Driftsäker","Inte sportig; Polariserande design","Den som värdesätter lyx och pålitlighet","for_korgladje: Porsche Cayenne"
"Lexus","LC","Coupé","Lyxig GT-coupé med karaktär. V8-versionen är extra speciell. Fantastisk design och byggkvalitet men inte lika sportig som Porsche.","Bensin; Hybrid","Tvåhjulsdrift","4","Fantastisk design; Hög byggkvalitet; Karaktärsfull","Inte lika sportig som rivaler; Begränsad praktisk användning","Den som vill ha annorlunda lyx-GT","for_korning: Porsche 911 Carrera"
"Lexus","LM","Familjevan","Ultimat chaufförs-MPV med extrem komfort i baksätet. Hybridversionen är enda valet. Mycket dyr och nischad.","Hybrid","Fyrhjulsdrift","4","Extrem komfort i baksätet; Tyst; Lyxig","Mycket dyr; Nischad användning","Chaufförsdriven användning","for_flexibilitet: Mercedes V-klass"
"Lexus","RC F","Coupé","Klassisk V8-coupé med driftsäkerhet. Track Edition är toppversionen. Fantastiskt motorljud men inte lika skarp som tyska rivaler.","Bensin","Tvåhjulsdrift","4","Fantastiskt motorljud; Driftsäker; Karaktärsfull V8","Inte lika skarp som BMW M4; Modellen utgår","Den som vill ha karaktärsfull V8-coupé","for_precision: BMW M4"
"Mazda","Mazda3","Halvkombi/Sedan","Snygg och premiumlik halvkombi. Skyactiv-X är förstaval. Fin interiör och körkänsla men trångt baksäte mot konkurrens.","Bensin; Mildhybrid","Tvåhjulsdrift","5","Fin interiör; Bra körkänsla; Snygg design","Trångt baksäte; Inte de starkaste motorerna","Designorienterade förare","for_utrymme: Skoda Octavia"
"Mazda","Mazda6","Sedan/Kombi","Elegant sedan/kombi till rimligt pris. Wagon-versionen är extra praktisk. Karaktärsfull design men börjar bli gammal.","Bensin; Diesel","Tvåhjulsdrift","5","Elegant design; Bra körkänsla; Praktisk Wagon","Börjar bli gammal; Modellen utgår","Den som vill ha snygg sedan/kombi","for_premium: Volvo V60"
"Mazda","CX-5","SUV","Snygg och pålitlig familje-SUV. AWD är populärt val. Fin design och kvalitet men mindre utrymme än rivaler.","Bensin; Mildhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Snygg design; Hög kvalitet; Pålitlig","Mindre utrymme än rivaler; Begränsad motorflora","Designorienterade familjer","for_utrymme: Skoda Kodiaq"
"Mazda","CX-30","SUV","Snygg och premiumlik kompakt-SUV. Skyactiv-G är förstaval. Fin interiör för priset men trångt baksäte.","Bensin; Mildhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Fin interiör för priset; Snygg design; Bra körkänsla","Trångt baksäte; Begränsad räckvidd som EV","Småfamiljen som vill ha designtyngd SUV","for_utrymme: Kia Sportage"
"Mazda","CX-50","SUV","Robust SUV med premiumkänsla. AWD-versionen är förstaval. Fin interiör för priset men inte lika rymlig som vissa rivaler.","Bensin; Mildhybrid; Hybrid","Fyrhjulsdrift","5","Fin interiör; Robust; Bra på dåliga vägar","Inte lika rymlig som rivaler","Familjer i kuperad terräng","for_familj: Kia Sorento"
"Mazda","CX-60","SUV","Premium-SUV utan tyskt pris. Bakhjulsdriven känsla med fyrhjulsdrift. Fjädringen kan kännas hård.","Bensin; Diesel; Mildhybrid; Laddhybrid","Fyrhjulsdrift","5","Premiumkänsla; Bra körkänsla; Karaktärsfull design","Hård fjädring; Mindre rymlig än rivaler","Den som vill ha sportig premium-SUV","for_komfort: Volvo XC60"
"Mazda","MX-5","Cabriolet","Ren körglädje i lätt sportbil. Soft top manuell är klassikern. Fantastisk styrkänsla men opraktisk som vardagsbil.","Bensin","Tvåhjulsdrift","2","Fantastisk styrkänsla; Lätt och balanserad; Manuell finns","Opraktisk; Endast två säten; Begränsat bagage","Entusiasten med fokus på körkänsla","for_premium: Porsche Boxster"
